,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
abrilumab,17.0473222431789,13.332744185227599,24.337974649524497,18.376218662076102,5.362228789753759,3.7256910115055,2.40715291764912,0.612133541577955,1.53102372950522,3.43188864805681,1.98629376042187,4.97865951384365
adalimumab,19.4315712519468,17.077201539305598,19.4731713884147,21.190040715951604,6.01715222521654,4.83755872701529,4.82365704498594,1.4196163967577202,2.74136392078106,5.6808512648065195,4.5056079685633605,4.63432408162823
alemtuzumab,22.7491508361317,13.860095221717101,24.0839899930022,17.181584799493898,5.7915900227039,3.53167016203093,2.81499149687606,1.44605429222049,2.03045647378628,6.94115949141558,3.91898177181632,3.0681105325488502
alirocumab,21.986103393813895,14.1394561652104,22.5259977780932,20.2951795883517,5.30341302643858,2.33152180098107,4.0948926972201,1.39776587803505,1.5704467528683002,6.49112745305125,4.2988875585401605,3.0253967109665205
anifrolumab,16.6653854895186,13.707998123127801,22.288329218297896,18.459525471852103,5.9985850794472,3.65950592120377,2.85119787266672,2.87244808472408,1.1261830934589399,3.6459225193074705,2.19616947300715,3.4521776006094402
bapineuzumab,20.349042437075,13.747510090706902,25.208545173319397,19.8420504185532,3.9260407575150498,4.69373254997382,3.3675900959893195,2.66292176784072,3.20256620837861,3.29804997025069,3.1975088351267003,2.6657711160520097
basiliximab,13.6597202637078,11.378944835113499,23.9890492446017,18.8013703795974,3.4651791756839705,4.41173502929393,4.02147318006297,2.9166212744643905,3.2952428238984,3.10687867273435,3.27102535906255,3.09489110516505
belimumab,22.4943280624717,16.3467245040346,23.599299869044,21.975200024135603,4.01215414895675,6.2219700815117,4.24778995508805,2.6350898081856498,4.2490295741485395,4.498175889922679,3.25268359696552,3.554790269996
benralizumab,17.4442958112939,11.0734314190679,25.916820042045998,17.3624900868578,5.83150036142957,6.56874249501745,3.99627728214389,3.9231552199001096,3.58626495948723,5.159619550974231,5.7064109383175,3.79463674205683
bevacizumab,19.258090723794698,13.826871539296501,25.1116649844392,18.997133395270602,6.61758312388389,5.37552449151955,3.8449173180703395,3.1423096784132003,2.80779336668701,6.41157998929637,5.30379989422263,4.40081726051696
bimagrumab,15.6913588900703,10.489957591625698,23.883419365391898,17.1372821367464,4.65478612272207,4.13246634352823,3.7751035726834603,2.5566928047650803,2.33613044818797,4.26761212500395,3.48660863981162,3.9253684910183595
blosozumab,20.2558400255791,12.115798895197802,23.342454414323395,15.5527675270656,9.496658567060571,3.47299779475499,4.15112873996811,2.66851115062513,2.9766254796261697,6.9419650344894,3.96682911184715,3.0936489642343505
brentuximab,20.1078088604339,12.624243366597,26.9307098953474,16.0161086793298,7.056606715528621,2.8589800373374397,3.18867692300297,1.79332762174125,1.9601877946769801,6.762107005564059,4.41063634352659,2.81642523776991
briakinumab,18.9051888811819,12.2579338097396,22.3407426915731,18.986073961456498,3.86263461296135,5.455303887714191,4.64194236698021,2.20592349893923,2.8299518961339505,4.79868282762716,3.5747587862432098,3.40636746954009
brodalumab,17.1507035733493,11.5986356952843,24.5035126286595,17.3482353724441,4.10309226080936,6.17198677417336,3.5847462286332594,2.5825506969873597,3.34393245246846,4.948697492287059,2.6061543647138,4.37685321606894
carlumab,17.120575349022698,12.731504726540699,27.344811590241605,17.558612222318402,7.16455727128122,4.68892240637238,3.71482279680057,1.9346216243128702,2.9115275318127205,4.70375970607668,2.65699720400025,3.92811814808168
cetuximab,22.913791837402396,14.446658247926099,23.911900986767897,19.6362236797598,5.10737970550239,4.00699297184134,3.4415451052558796,2.47269282695096,2.7765544477630604,6.12961316370409,4.4593933317565995,2.5545724295817798
cixutumumab,19.8038243975837,12.768996918094,26.6018724781418,19.1329326000093,7.28324994267539,7.50671507900531,5.53426585412591,4.95346831090434,5.8876823324414405,5.785203532959,2.40400932598645,4.04614769549569
clazakizumab,19.9328043043186,14.922759998462501,20.8755747952788,21.1407327671063,5.685770459582599,3.73175290036741,2.8296310319240496,1.4720859588122701,2.7696960860179702,7.28887990650675,3.8589790639087003,3.39049343805552
codrituzumab,18.8563825973772,11.1262586564586,24.273142948811397,15.0412188213761,5.809711683665579,3.2818640939742405,4.7356924288432305,2.0600344233181502,2.19657906322621,5.504620695488441,3.70221972067253,4.505456601395459
dacetuzumab,17.087847614600502,13.2744440530513,24.5030752095326,17.7267249216604,4.23201083733579,3.6061514805966097,3.9267228636518503,1.9920263823167499,2.06885440918344,5.31533426298812,2.76770146324756,3.4280163065803904
daclizumab,18.4926095802568,11.4776086889824,24.9497422385904,17.8952956215725,4.9586474244171,4.07909682626106,2.8542484753096495,1.4957722309450598,2.16671231318574,4.92035254961628,3.76718887171179,3.4046841076128196
dalotuzumab,20.9427009979992,12.092070386922,24.8533369605303,17.1069866437071,4.59127085885687,5.31548899186281,4.85651717601189,3.8002114522436,2.75282731190651,5.9474526452829695,5.622895157720821,3.6807498829219596
daratumumab,19.4927066998137,14.4120747637605,25.028089360598102,19.6780747409287,6.07780491098795,3.4223876935760598,4.45149345547182,2.30829554185765,3.54410572842628,4.5506551710472,2.23440978011421,2.8985821409432995
denosumab,19.164651505185603,13.602378000748802,25.8678915876273,19.1083076210306,5.989999174646799,2.43255505474279,3.8825677199392,2.5088896257528703,1.13389483442139,4.97050098126169,2.50367134020175,3.6512952573745494
dinutuximab,17.182989132326,11.632397511840999,24.1961817895012,18.1416980899038,2.91456057148683,4.77738375107955,4.58455598069985,1.8019948130510801,1.9197513258195502,3.93710184311593,4.06837363653985,6.08190399772004
drozitumab,19.4528601023115,12.4605319180238,27.335498996347,17.5663199230057,4.7235448165975304,3.94026614338337,4.696668603100901,2.00710669300789,2.0818534697368603,5.4890741707747805,3.0472157884952797,2.73998800873652
dupilumab,19.857801809070804,14.3492572672276,25.522434601669396,19.4140556337572,5.3086204824870995,5.08587194726012,5.222143020285451,4.55101126618473,3.99059617888101,4.32968145577834,3.4138242253683195,3.25115050585415
eculizumab,22.6456153510382,14.2125830410672,21.323610737257603,20.8459613901928,8.20099498958785,3.24307290129254,3.95226694229949,2.61920429449027,3.27573277528835,9.10644328207553,5.690094418517701,3.34309949512611
efalizumab,17.409588228075,13.7263430862305,24.2744527182759,19.8005782485439,5.78628749716636,4.37157609956573,3.65102241763745,2.4136255502434,2.7856857440295295,4.759363445287059,3.93170321253688,3.55500628379652
eldelumab,21.099527621706603,13.7348564807386,27.395325486214197,19.6321149023241,5.90195537132696,3.19145145347979,3.2930743626067502,2.58390393071221,1.82159334569448,4.2013674298737405,3.0369229125839596,2.2593456503151
enokizumab,15.841965445385899,10.972427287744601,25.839570294309503,17.5652388264067,5.260016745855809,4.99225835741806,5.572458683842,3.85587024678515,3.9647853075174395,4.3177248126333305,3.9401127063531,3.10112268982703
epratuzumab,18.932449845797898,13.6408332937033,21.450264716745103,19.3715374961638,6.45933551285459,4.6938949883074095,4.25994291186691,2.27963986426815,1.8262927114117602,6.82502128208276,6.646381353921161,4.32980749750678
etrolizumab,18.5761749796632,11.4094878781646,23.5739876780295,18.7213561032407,4.3136787801536896,3.6424796393631,2.88364524461523,1.8100258802926101,2.38862578834572,2.8955810543240204,3.69267461703505,2.8440852549904703
evolocumab,18.817380950529397,11.7912059742401,26.332275056787,16.2920554558321,4.706281950077019,4.24278563757926,2.23214393308028,1.89600140353877,1.4169707483131102,6.52355462618733,5.03612895792271,3.13897281923904
farletuzumab,18.520588925434698,13.0779154765594,24.396343452032,17.5969053591045,3.54420620109973,4.63209147836504,3.47499507896479,1.42636053087053,3.00259498923164,4.4276408944315895,3.03543989277305,2.7501366290206803
fasinumab,18.5512549475318,13.3817125809468,23.991870966744102,16.3631811344374,7.88048268011566,3.4558711127012303,4.53569445591275,1.36855225734916,1.81580547210202,7.30137788111569,3.52549776618111,5.9377848471672
fezakinumab,19.9627613977917,11.2095549151036,21.3171245143248,17.4933666568243,5.057532973757731,4.09639060153951,2.5619037942047203,1.95524349728177,2.4374978908564,4.69578658346891,2.39918677558273,2.73208018277746
fletikumab,18.2363494124245,15.795072741977402,22.803369265330602,21.633683487388502,5.647677394641909,6.3866320876878,4.27962815606561,2.70563869686678,3.8804902169062,5.27119256626925,3.4738491858689904,4.63323643406711
fresolimumab,17.1114925480405,13.664322823281697,20.899940812350604,18.569510450123698,5.30535303117004,4.616634157581481,3.62071380060807,2.08323537872148,2.52463921771092,3.08000186099639,1.6871487816498798,3.8594589466818396
fulranumab,17.5000163224321,14.9532307671893,21.3633719368981,21.9799033447103,5.49512072314192,5.766947247318679,4.52056265709359,3.76569678057014,3.8822356499716495,3.9189217577697097,2.4480658014886605,2.58763298048785
galiximab,23.691418507846198,13.674354311407402,26.9858788517835,19.747744486079,5.36128349900237,4.6592492285474005,2.74892057220554,5.03550232201024,2.64234805882202,6.95287249467863,4.31980705124819,1.86416964393253
gantenerumab,19.3058207239849,13.720164591231802,26.0983495240795,19.0322839345377,4.78142770684859,5.18218857500167,4.820539025879389,4.37242391332478,4.2577041193978395,5.70550784559098,2.8504176296403303,3.1367758451729797
glembatumumab,20.3024711628455,11.643906056364301,25.215687023157397,19.6986786977695,4.4065238577057,4.86519322394813,4.61289602951004,2.53921220246463,3.4655483874932003,5.53905316014408,3.56757480208628,3.54620393721683
golimumab,19.2283795126654,15.029557675964199,24.529046117107395,19.3551905059401,4.51524907577574,3.6430909589282994,5.840742461983269,3.45131016591806,2.63490014852405,7.0672261880491,3.49041267216057,3.52836249065566
guselkumab,17.158021893252698,11.196569570548197,22.1935317757397,18.8687970834025,3.03370157899928,5.33673643387036,2.73140778409594,3.21984063731741,3.03658900395414,3.13315837454624,3.32008532975098,2.70820321058918
imgatuzumab,19.1120803101613,11.126529141084301,26.2450759707756,16.0591111767768,3.9458190452811497,4.6226878996895895,3.16308226885413,2.2107648882510498,2.27237912843537,5.94232914969252,3.87849193219765,4.07079831624833
infliximab,18.5891755920896,13.1764458998651,23.1466283141131,19.0654801765651,4.40339172883953,4.1092488374938,4.34811223019929,3.05680884775977,2.72866805744247,3.61970527925401,2.6226280540212596,2.9968865405056695
inotuzumab,18.5222793420499,11.404894135991,25.9645770435572,17.460964497411197,2.14581722861448,6.74712307020147,5.89748228887284,3.2610034795763796,3.94751346118848,4.800756377494951,4.1032928367864505,4.76817028094385
ipilimumab,18.578049667125,13.432029101036001,23.4438235971732,19.7215661890958,5.02029715472676,3.85963981010207,3.9352475681734402,1.8116668418628301,2.3299474819879302,4.22881828030625,4.26473411722045,3.11866403755675
ixekizumab,18.956178838135397,11.120825519169701,25.085627080814298,17.2486033423774,5.88041637279063,5.55029924670992,5.64065284289207,3.12837726181915,3.22267764628014,4.44846192927467,4.12292102265159,4.74061700762057
lampalizumab,22.496057750472303,13.4442497014185,23.234477609615197,16.6029428161138,9.905861937418221,3.43039016007083,1.6766430161543,1.96483340995192,0.9781414057137109,9.47691324095588,7.5913844938804695,2.15546033911856
lebrikizumab,23.8303903962221,12.887932658966902,22.990502086188002,16.053386857177998,3.7711397016926096,3.0935680262783802,4.49180271850874,1.94825603793704,2.27743069117331,5.07706521446855,2.75147772560802,2.66025819289382
lirilumab,17.098176016745697,12.0574077377704,25.729785353719397,16.751486892362898,5.30372143006229,5.05917367669683,4.81450536725613,2.7705580222505803,3.31907195674657,4.686868277341921,1.01221541810973,3.71007955750512
lumiliximab,19.7785391541925,15.8209167573637,21.143582718149702,20.2313688035062,5.87281930173254,3.6178281233717002,4.69733326811821,1.8089108699888798,2.5054980931660897,4.4448525784172,4.341806652202701,4.5960716066186
mavrilimumab,20.1852729638385,13.957717548938401,23.092765370534,18.597592092963897,6.28393023813076,4.86776745914036,3.50449559817488,1.89896047068364,2.29063797889758,6.09297778092275,4.895867414974191,5.62307483436204
mogamulizumab,22.548413829945396,15.369231796444199,21.526355668271602,20.32848735978,5.885606021274589,3.7428982533199306,3.52114574728831,2.26962293065113,2.30260858698533,6.48527867209972,5.35504182872414,3.27504732267071
motavizumab,24.4828678216925,14.536651689173802,21.2148758727815,15.5105561032257,5.227852384580049,2.40548055197754,3.52614023416834,1.6459654072117498,1.43098719271181,3.44582178127604,3.4408128573863195,2.67091393525918
muromonab,15.694020383568402,12.957214492823802,23.279381077402896,20.3335100291784,4.50243420904519,5.40186121453879,2.92352942279388,2.8151066848071005,2.69230398973874,4.62938259171784,3.22780930011981,3.09668941734758
necitumumab,20.131384669257,12.2143108026892,26.4396943712185,18.5667378320859,4.5463631358473,3.53383486318308,3.5576275352736197,2.17024668133886,2.0559789056719198,3.7590964278728904,2.7800523237373,3.5470165830700497
nimotuzumab,21.033321592070802,11.978692149586001,27.045469983120004,19.240154926737002,7.5364277797371795,2.76477311762894,4.49663899048336,2.02907113929807,3.06237095962711,7.45102450340808,5.235131786515191,3.14288601301454
nivolumab,18.6817161998129,13.2056732909459,22.0019165571153,20.3026764624888,5.03816572250717,3.2652034637964498,2.99505223611243,0.9304372427544271,1.16568659995676,5.61831840491765,2.92958660694537,4.25913416570781
obinutuzumab,19.2881393567042,10.7095750971822,24.1515836612428,16.1454671719223,5.22732701384957,3.5632341766617994,4.43106213846954,2.7696709611478,3.1031577204290404,5.1343918027591195,3.2624365686794903,1.90576028400739
ocrelizumab,18.7558419649874,13.048663833243198,25.327853427575,19.234868087229398,3.5047517580638097,3.79969348667931,3.56228104493744,2.3758744248282597,2.31599758885137,4.24626917008691,2.52230743081665,2.47004049315386
ofatumumab,18.044092196643,14.5989919875872,25.139136159263202,19.1756045780067,5.35834202258245,4.25236770268031,4.32594055019588,3.2164896665771603,3.0718733529177302,4.98605326757724,1.9918920171540502,2.9364954290292102
olaratumab,20.108286226387104,11.891478375871198,27.2480428735481,21.257445982638398,3.31072194917979,6.313047087446951,5.31143233265496,3.46285239566782,3.65583597782958,4.5316942483145395,2.7884674386693598,4.40167207394526
omalizumab,18.292999980177697,12.771053252818401,23.9775424249692,18.7044873949445,5.4815967079792,4.34209508456039,4.7627593415947995,2.66993624310832,2.86208370865539,4.985495354358309,5.14735845276888,3.58526583606367
onartuzumab,19.5205767590709,13.2805888771924,20.9018313939059,19.660728137512802,5.5997585994298,4.546229487284269,4.546303217350981,2.98949036719728,2.9511104610984904,5.42971733154622,5.0518406587366504,3.67539365695035
otlertuzumab,15.7563840768519,10.030821229770801,25.854660148404797,15.862594326133802,5.36831794271548,3.6721401379624106,3.3321193044577795,1.6853645564055602,1.06428528638707,5.789867850418,4.92056779193984,4.86251873541583
palivizumab,24.922038686588603,13.1174735531055,21.3801996097338,16.1279188366772,4.788267306476491,2.71521876442293,1.2926900456686001,1.7548304541567599,0.878204867244136,3.8358296085747097,2.4629843924596404,2.51114443057183
panobacumab,19.7486684931019,13.4668975861272,22.4091830396194,18.1679639695758,4.98756139021483,5.00121617046182,5.34993683729222,3.686938486374,3.6899402094321903,5.00179701297903,4.4087531078986695,3.6320565589087797
parsatuzumab,18.348562411886498,15.7045116004952,25.044803690422302,19.628089433575102,6.87360424426029,5.41340639971151,5.36612589165526,4.096268324568039,3.23740677984324,5.99852953010221,3.4736741388505297,3.05276672327604
pembrolizumab,20.2133738408019,11.7426729666523,25.4406070322335,16.4611965003491,4.71451701671796,4.40160531896708,5.03557076921041,2.9967318809846497,3.61056587286729,5.2717585409574905,4.6155525141148095,2.6978323487689306
pertuzumab,19.1715107235404,14.4807589936814,22.9734939710762,19.0141207328119,5.6460338161159696,5.68462394911863,3.89664976292656,2.85136581585409,3.19449381307398,3.32615446144427,2.2017970493425296,2.8435123757726095
pinatuzumab,17.302726287251502,12.6035839149954,25.1074858413234,19.9107303247126,5.698888171804769,3.56195375289561,4.12260119424844,2.9084087655221897,2.9627095914272403,4.8713251310562695,3.3678237548939105,3.2934408448659
polatuzumab,18.4863528048202,13.457388902267098,23.6286965108441,17.3346051513963,7.278751035678691,2.7411664802155,3.08637871623283,2.53869828599067,2.04970793271561,6.724772821435441,4.78946660374331,3.51932007264512
ponezumab,19.3451461802448,13.1704483447017,22.566748126152202,16.6457913758027,3.10070021562444,8.46449191696705,7.247738443427731,4.6267796566124,4.624435053964951,4.5831440887002906,4.55259618044733,3.96164119157834
radretumab,19.4994691584152,12.7665984668344,21.9388017297751,19.0443456892021,5.441625224984981,3.48757386751095,4.749612645080389,2.0469197661219702,2.83807144172753,3.42843089110772,2.33800749060445,2.64170406835939
ramucirumab,17.721608405423698,12.5222805437538,19.8925716010716,18.5812963816677,6.16523977034222,2.37659380361094,2.93307652951743,0.767526401276653,1.54861921781182,6.2015718815171805,3.30011013955001,3.19814996777521
ranibizumab,19.167387298738998,13.8835832953818,25.6088718810012,18.483170529224697,7.174520264448861,5.98422476371286,4.45242416697885,3.7469506034166002,3.4161969800332797,6.99726684299663,5.2816165497671195,4.38796831831379
reslizumab,18.6061578012962,12.301429231787699,22.445347779913803,19.6100617215036,4.522056464637849,3.36444337058806,3.1037239705963398,1.9368062367939698,3.2761873601580502,5.2046458230917,3.32854608073065,2.01800404104268
rilotumumab,18.765153772431198,12.2148048028576,26.0176508647485,18.6150200347222,5.52549885721039,4.48381128213766,4.36821214706988,2.85544916138615,3.23569432633259,4.59937295402,3.02112571865049,3.41185453326685
rituximab,15.7767284732544,12.5778176973929,27.60073970487,16.4835257034279,3.8287008083058303,3.9044134110623503,3.3061809830558997,2.1440528658260303,2.2456428211122597,4.51051134190572,2.6958008886669,2.6488142750645296
robatumumab,18.229764845951603,12.743882238624302,23.329740569415396,16.6942788310688,4.0157154019362995,4.35179501285148,3.5897296745662004,1.8598831730150902,2.90881990574314,3.6502098650342596,2.46403548847236,3.2483346445861203
sarilumab,18.0809423333768,16.1578692641143,21.172872635651103,21.3246873883052,5.752615980839581,3.4714813951578396,4.06630321671384,1.6177176812643603,2.40864983161035,3.1658351758853,1.58304735027223,3.4654151633392996
secukinumab,18.200642906781102,14.9113451791131,23.1384556627808,19.860643164532,5.7950535030433095,5.284592954246549,4.563947091888821,4.171623278336879,3.9908004003219997,4.22232969573731,2.19402279055496,3.3367908957187002
seribantumab,18.7650100009722,14.1712751838141,23.7135073893923,20.1259874588945,6.06304144225142,4.41399905706675,3.0044920507029502,3.74765329300704,2.50519677486928,4.924869433631019,3.5409893265277304,1.69216648549867
sifalimumab,17.9813228910282,12.6422607296304,23.98287658512,16.8325565843013,3.5086822900025396,4.74891366094595,3.9325960040543104,1.85757157978535,1.86455657705983,4.6706053898772195,3.8906900340500497,4.7525033463466295
siltuximab,14.6489672595517,10.888678581051,23.6494095741897,18.9948168658212,4.63296446477116,4.52403160414362,3.4754631993315797,1.7203551154533703,3.0908159758715703,3.7010394608461405,4.02048549396978,2.6114799925996297
simtuzumab,18.21962898057,11.120424150227802,24.639873096071803,15.854930575653999,3.13250434673548,4.11810577438945,4.736482422949269,2.6093241524567996,2.87587968106454,4.85542397620032,3.75742932241856,3.05927279692669
tabalumab,18.4668956939807,12.9015028956246,26.7739716495262,18.2072080467791,3.64140923983442,4.854226129552639,4.5057854295172195,3.1592640663084,3.3101161372548,4.4868795773417505,2.19111792273646,3.11723569269014
tanezumab,19.1356824978157,12.7824919944894,27.4415956091283,17.1734089694247,4.84540042712919,4.475988782915669,5.5349814672158,3.9571211779795497,3.1048497106744395,5.13521237238287,2.84542275040582,1.8407842390326699
teplizumab,19.763897990505498,13.0613163726686,23.9983253880399,19.3093909512633,4.53132458184316,5.419850171745679,3.13901600244554,2.85573126481763,2.70970626588105,4.58701194824636,3.3157508120499997,3.1434647443214603
tigatuzumab,18.9342062313276,13.4559163397255,23.506101668036298,19.012140968472398,6.396227564056639,4.04857626231951,2.3796021474652598,2.7705278777673197,1.21668831388948,4.879096674155821,3.95496607061892,2.44809672732008
tildrakizumab,15.754220453112302,11.788577562384301,24.0410878390381,15.665216845174001,6.75540979929811,2.28601599855227,3.67540071055848,2.8087302007446198,1.7674497442601,6.18709087868052,4.44989935200804,4.49320786166078
tocilizumab,19.9473349234331,13.1257857855665,20.5444405884054,19.900565543387,4.36406742179695,4.83131297087575,4.17139677243413,2.62453872533131,2.2211711007864197,3.54095079464512,3.05869901964462,2.8127397121035997
tovetumab,16.274497724823803,13.9549326860161,23.3051662797848,17.6436830643458,4.50766183907261,3.4264637604688706,4.880546164443349,2.55543693992418,2.46505682301969,3.17333600083054,1.9290728892555702,3.7009475628373503
tralokinumab,22.5781260238838,13.0665907186389,23.631312666724895,21.2609152241835,7.97435557028656,4.32586759004633,3.0967194779116802,2.30378938082964,2.45418920209587,7.41015328523876,4.2264353856186805,2.681122448353
urelumab,19.115213862532197,13.3396033370221,24.7773174398313,18.898899451591802,3.78325588827355,5.53423005309465,4.98163284429944,2.46192084851962,3.3632094343926604,5.542711449580151,3.25328694197351,4.85257207435707
vedolizumab,16.7596848508374,12.902107103212199,24.543902789649202,19.0993375516004,4.9028471332896295,4.6792012796045706,5.157845463157661,2.7772193069846898,3.239609690778,5.09291056617906,3.5034420831345,4.0805144742694806
visilizumab,15.678991992114,12.288595909349999,23.639256761726,16.9290094175203,3.7841177484185295,5.40885801049201,3.2908752426997,3.0115073563020403,2.46095719832332,3.78130818989183,3.3437157839166303,3.0262171265930897
zalutumumab,17.9958314237136,13.097588032144598,26.8357415243233,19.2760208053953,6.804714400089001,4.60965589668462,2.80371751858069,3.80659848863066,2.29066478248365,5.508740001210491,3.62409749078629,3.2127301936214603
zanolimumab,17.8339838619799,12.6916741856631,23.187341324376696,18.3700298212243,2.88418222812903,3.04979504663151,3.29815661073256,2.02003586808102,1.7494089486564801,3.2623948633058397,2.82022859786332,2.37576112425524
